Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
GHY,GUWAHATI ,26,80.13,3.21,10.90,5.77
KYQ,KAMAKHYA ,30,76.28,5.13,12.82,5.77
RNY,RANGIYA JN ,49,34.62,41.03,15.38,8.97
BPRD,BARPETA ROAD ,83,8.97,43.59,38.46,8.97
BNGN,BONGAIGAON ,74,0.64,1.92,0.64,96.79
NBQ,NEW BONGAIGAON ,55,40.38,30.13,20.51,8.97
KOJ,KOKRAJHAR ,63,32.69,37.18,24.36,5.77
NOQ,NEW ALIPURDAUR ,80,5.77,54.49,33.97,5.77
NCB,NEW COOCH BEHAR ,90,2.56,47.44,44.23,5.77
DQG,DHUPGURI ,93,3.85,44.87,45.51,5.77
JPE,JALPAIGURI ROAD ,87,7.69,46.79,39.74,5.77
NJP,NEW JALPAIGURI ,67,32.69,35.90,25.64,5.77
KNE,KISHANGANJ ,96,5.13,42.95,45.51,6.41
BOE,BARSOI JN ,95,1.92,51.28,40.38,6.41
MLDT,MALDA TOWN ,71,44.87,16.67,32.05,6.41
NFK,NEW FARAKKA JN ,81,35.26,20.51,37.82,6.41
RPH,RAMPUR HAT ,73,32.69,23.72,29.49,14.10
BHP,BOLPUR S NIKTN ,90,8.97,36.54,40.38,14.10
DKAE,DANKUNI ,118,0.00,28.85,55.77,15.38
KGP,KHARAGPUR JN ,127,6.41,29.49,55.77,8.33
BLS,BALASORE ,136,7.69,23.72,60.26,8.33
BHC,BHADRAKH ,150,5.77,19.23,66.67,8.33
JJKR,JAJPUR K ROAD ,157,2.56,17.31,71.79,8.33
CTC,CUTTACK ,175,1.28,16.03,74.36,8.33
BBS,BHUBANESWAR ,178,2.56,14.10,75.00,8.33
KUR,KHURDA ROAD JN ,180,4.49,12.18,75.00,8.33
BALU,BALUGAN ,200,1.28,10.26,80.13,8.33
BAM,BRAHMAPUR ,205,1.92,8.97,80.77,8.33
PSA,PALASA ,191,4.49,11.54,75.64,8.33
CHE,SRIKAKULAM ROAD ,201,2.56,8.33,80.77,8.33
VZM,VIZIANAGRAM JN ,204,1.92,10.26,79.49,8.33
VSKP,VISHAKAPATNAM ,210,2.56,12.18,76.92,8.33
RJY,RAJAMUNDRY ,248,0.00,5.77,85.90,8.33
BZA,VIJAYAWADA JN ,255,0.64,5.77,85.26,8.33
PER,PERAMBUR ,281,1.92,5.13,83.97,8.97
AJJ,ARAKKONAM ,286,1.28,5.77,83.97,8.97
KPD,KATPADI JN ,280,2.56,5.13,83.97,8.33
JTJ,JOLARPETTAI ,286,3.21,4.49,83.97,8.33
BWT,BANGARAPET ,301,3.21,3.85,84.62,8.33
KJM,KRISHNARAJAPURM ,296,3.21,5.13,83.33,8.33
SMVB,SMVT BENGALURU ,282,5.13,5.13,81.41,8.33
