Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
AGTL,AGARTALA ,60,77.88,2.88,13.46,5.77
ABSA,AMBASA ,72,60.58,18.27,15.38,5.77
DMR,DHARMANAGAR ,76,64.42,12.50,17.31,5.77
NKMG,NEW KARIMGANJ ,77,64.42,12.50,17.31,5.77
BPB,BADARPUR JN ,86,51.92,25.00,17.31,5.77
NHLG,NEW HAFLONG ,92,44.23,29.81,20.19,5.77
GHY,GUWAHATI ,87,50.00,25.00,19.23,5.77
KYQ,KAMAKHYA ,97,22.12,51.92,20.19,5.77
NBQ,NEW BONGAIGAON ,81,59.62,13.46,21.15,5.77
NJP,NEW JALPAIGURI ,104,28.85,34.62,30.77,5.77
KNE,KISHANGANJ ,121,9.62,47.12,37.50,5.77
MLDT,MALDA TOWN ,117,35.58,19.23,39.42,5.77
RPH,RAMPUR HAT ,152,8.65,33.65,46.15,11.54
DKAE,DANKUNI ,165,11.54,25.00,51.92,11.54
ADL,ANDUL ,168,10.58,26.92,56.73,5.77
KGP,KHARAGPUR JN ,185,10.58,18.27,65.38,5.77
BHC,BHADRAKH ,189,13.46,15.38,64.42,6.73
CTC,CUTTACK ,224,4.81,9.62,78.85,6.73
BBS,BHUBANESWAR ,240,0.00,10.58,82.69,6.73
KUR,KHURDA ROAD JN ,256,0.00,7.69,85.58,6.73
BAM,BRAHMAPUR ,288,0.00,2.88,90.38,6.73
PSA,PALASA ,254,0.96,3.85,88.46,6.73
CHE,SRIKAKULAM ROAD ,267,0.96,1.92,90.38,6.73
VZM,VIZIANAGRAM JN ,277,0.96,1.92,91.35,5.77
VSKP,VISHAKAPATNAM ,289,0.96,2.88,89.42,6.73
DVD,DUVVADA ,286,0.96,3.85,88.46,6.73
BZA,VIJAYAWADA JN ,345,0.00,2.88,91.35,5.77
PER,PERAMBUR ,381,0.00,1.92,90.38,7.69
KPD,KATPADI JN ,359,0.96,1.92,91.35,5.77
WFD,WHITEFIELD ,371,0.00,3.85,90.38,5.77
SMVB,SMVT BENGALURU ,342,1.92,3.85,88.46,5.77
