Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
LGH,LALGARH JN ,11,90.96,1.64,2.47,4.93
LKS,LUNKARANSAR ,18,78.36,13.15,3.56,4.93
MHJ,MAHAJAN ,28,21.64,70.14,3.29,4.93
SOG,SURATGARH JN ,21,53.42,38.36,3.29,4.93
PGK,PILI BANGAN ,23,44.38,47.12,3.56,4.93
HMH,HANUMANGARH JN ,23,44.66,46.30,4.11,4.93
SGRA,SANGARIA ,27,34.52,55.89,4.66,4.93
MBY,MANDI DABWALI ,31,22.19,67.67,5.21,4.93
BTI,BHATINDA JN ,11,88.77,2.47,3.84,4.93
MAUR,MAUR ,20,80.82,9.86,4.38,4.93
MSZ,MANSA ,21,77.26,12.88,4.93,4.93
BLZ,BUDHLADA ,22,73.97,15.89,5.21,4.93
BRZ,BARETA ,24,65.75,23.56,5.75,4.93
JHL,JAKHAL JN ,25,60.55,28.22,6.30,4.93
TUN,TOHANA ,26,56.99,31.23,6.85,4.93
NRW,NARWANA JN ,28,47.95,39.18,7.95,4.93
JIND,JIND JN ,29,47.95,38.90,8.22,4.93
ROK,ROHTAK JN ,30,46.30,38.90,9.86,4.93
BGZ,BAHADURGARH ,29,49.04,35.89,10.14,4.93
SSB,SHAKURBASTI ,26,64.66,20.82,9.59,4.93
DKZ,DELHI KISHANGNJ ,31,55.07,29.04,10.96,4.93
DLI,DELHI ,30,54.79,27.40,11.23,6.58
GZB,GHAZIABAD ,29,58.90,23.56,12.33,5.21
PKW,PILKHUA ,36,44.66,36.16,13.70,5.48
HPU,HAPUR ,39,40.82,39.73,13.97,5.48
AMRO,AMROHA ,48,26.85,49.32,18.36,5.48
MB,MORADABAD ,52,27.95,46.85,20.00,5.21
RMU,RAMPUR ,67,12.60,52.60,29.04,5.75
BE,BAREILLY ,89,3.56,43.56,47.12,5.75
SPN,SHAHJEHANPUR ,99,6.85,34.79,52.60,5.75
HRI,HARDOI ,108,9.04,20.00,57.81,13.15
BLM,BALAMU JN ,115,7.95,17.81,61.10,13.15
LKO,LUCKNOW NR ,118,11.78,13.42,61.64,13.15
BBK,BARABANKI JN ,103,15.07,16.16,55.62,13.15
JLD,JARWAL ROAD ,112,11.51,20.82,62.47,5.21
GD,GONDA JN ,108,13.97,19.18,61.64,5.21
MUR,MANKAPUR JN ,114,7.67,23.56,63.56,5.21
BST,BASTI ,117,8.49,21.37,64.93,5.21
KLD,KHALILABAD ,119,6.85,23.56,64.38,5.21
GKP,GORAKHPUR JN ,93,21.92,18.08,54.79,5.21
DEOS,DEORIA SADAR ,99,10.96,26.30,57.53,5.21
BTT,BHATNI JN ,100,10.96,26.85,56.99,5.21
BHTR,BHATPAR RANI ,105,2.74,1.37,6.30,89.59
SV,SIWAN JN ,88,21.37,21.92,51.51,5.21
EKMA,EKMA ,88,16.44,15.07,36.99,31.51
CPR,CHHAPRA ,77,33.15,19.73,41.92,5.21
SEE,SONPUR JN ,78,22.19,22.47,28.22,27.12
HJP,HAJIPUR JN ,80,27.95,27.40,39.45,5.21
MFP,MUZAFFARPUR JN ,94,13.97,33.70,47.12,5.21
SPJ,SAMASTIPUR JN ,100,16.44,26.30,52.05,5.21
DSS,DALSINGH SARAI ,108,11.23,27.67,55.89,5.21
BJU,BARAUNI JN ,101,16.71,25.75,52.33,5.21
BGS,BEGU SARAI ,109,10.68,29.04,55.07,5.21
KGG,KHAGARIA JN ,121,6.30,28.22,60.27,5.21
MNE,MANSI JN ,124,4.93,28.22,61.64,5.21
THB,THANA BIHPUR JN ,127,4.38,27.40,63.01,5.21
NNA,NAUGACHIA ,132,1.92,29.04,63.84,5.21
KIR,KATIHAR JN ,101,27.40,20.82,46.58,5.21
AZR,AZAMNAGAR ROAD ,114,14.79,26.85,51.23,7.12
BOE,BARSOI JN ,120,8.49,30.96,55.34,5.21
DLK,DALKOLHA ,132,3.29,28.77,62.74,5.21
KNE,KISHANGANJ ,138,2.19,27.12,65.48,5.21
AUB,ALUABARI ROAD ,145,1.37,23.84,69.59,5.21
NJP,NEW JALPAIGURI ,142,3.56,26.03,65.21,5.21
JPE,JALPAIGURI ROAD ,120,14.25,22.47,58.08,5.21
DQG,DHUPGURI ,123,13.97,23.01,57.81,5.21
NCB,NEW COOCH BEHAR ,121,15.62,22.74,56.44,5.21
NOQ,NEW ALIPURDAUR ,120,17.26,21.37,56.16,5.21
NBQ,NEW BONGAIGAON ,108,25.75,18.36,50.68,5.21
BPRD,BARPETA ROAD ,128,15.62,20.55,58.63,5.21
RNY,RANGIYA JN ,147,7.40,21.64,65.75,5.21
KYQ,KAMAKHYA ,142,18.63,14.79,61.37,5.21
GHY,GUWAHATI ,160,11.23,18.63,64.93,5.21
JID,JAGI ROAD ,177,2.19,20.27,72.33,5.21
CPK,CHAPARMUKH JN ,183,1.92,19.73,73.15,5.21
HJI,HOJAI ,187,1.64,18.90,74.25,5.21
LMG,LUMDING JN ,176,3.56,18.36,72.88,5.21
DPU,DIPHU ,182,3.29,16.16,75.34,5.21
DMV,DIMAPUR ,189,1.92,15.34,77.53,5.21
SZR,SARUPATHAR ,189,3.29,14.79,76.71,5.21
FKG,FURKATING JN ,169,13.42,7.95,73.42,5.21
MXN,MARIANI JN ,182,4.66,15.62,74.52,5.21
SLGR,SIMALUGURI JN ,189,5.21,14.25,75.34,5.21
BOJ,BHOJO ,182,9.86,10.41,74.52,5.21
