Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
DBRG,DIBRUGARH ,2,99.04,0.96,0.00,0.00
NTSK,NEW TINSUKIA JN ,9,79.81,19.23,0.96,0.00
SLGR,SIMALUGURI JN ,12,73.08,25.96,0.96,0.00
MXN,MARIANI JN ,12,70.19,27.88,1.92,0.00
FKG,FURKATING JN ,2,97.12,1.92,0.96,0.00
DMV,DIMAPUR ,11,73.08,25.00,1.92,0.00
DPU,DIPHU ,12,69.23,29.81,0.96,0.00
LMG,LUMDING JN ,12,74.04,25.00,0.96,0.00
HJI,HOJAI ,17,57.69,39.42,2.88,0.00
CPK,CHAPARMUKH JN ,22,0.00,0.96,0.00,99.04
GHY,GUWAHATI ,42,25.96,50.96,23.08,0.00
KYQ,KAMAKHYA ,40,32.69,44.23,23.08,0.00
RNY,RANGIYA JN ,43,36.54,28.85,33.65,0.96
BPRD,BARPETA ROAD ,75,10.58,42.31,46.15,0.96
BNGN,BONGAIGAON ,102,0.00,0.00,3.85,96.15
NBQ,NEW BONGAIGAON ,60,32.69,27.88,35.58,3.85
KOJ,KOKRAJHAR ,60,32.69,28.85,38.46,0.00
NOQ,NEW ALIPURDAUR ,69,19.23,34.62,46.15,0.00
NCB,NEW COOCH BEHAR ,72,20.19,33.65,46.15,0.00
DQG,DHUPGURI ,74,19.23,33.65,47.12,0.00
NJP,NEW JALPAIGURI ,45,51.92,24.04,24.04,0.00
KNE,KISHANGANJ ,55,36.54,28.85,33.65,0.96
BOE,BARSOI JN ,58,32.69,33.65,32.69,0.96
KIR,KATIHAR JN ,28,75.00,6.73,17.31,0.96
NNA,NAUGACHIA ,38,57.69,23.08,18.27,0.96
THB,THANA BIHPUR JN ,39,53.85,25.96,19.23,0.96
MNE,MANSI JN ,44,24.04,56.73,18.27,0.96
KGG,KHAGARIA JN ,47,24.04,56.73,18.27,0.96
BGS,BEGU SARAI ,66,1.92,70.19,26.92,0.96
NBJU,NEW BARAUNI JN ,39,44.23,38.46,16.35,0.96
MKA,MOKAMEH JN ,49,32.69,47.12,19.23,0.96
BARH,BARH ,68,6.73,48.08,44.23,0.96
BKP,BAKHTIYARPUR JN ,72,2.88,47.12,49.04,0.96
PNC,PATNA SAHEB ,51,11.54,72.12,15.38,0.96
PNBE,PATNA JN ,33,45.19,42.31,11.54,0.96
DNR,DANAPUR ,36,41.35,46.15,11.54,0.96
ARA,ARA ,44,27.88,56.73,14.42,0.96
DURE,DUMRAON ,34,47.12,41.35,10.58,0.96
BXR,BUXAR ,31,57.69,31.73,9.62,0.96
DLN,DILDARNAGAR JN ,39,39.42,49.04,10.58,0.96
DDU,PT DEEN DAYAL UPADHYAY JN ,29,84.62,5.77,9.62,0.00
MZP,MIRZAPUR ,47,47.12,34.62,18.27,0.00
PCOI,PRAYAGRAJ CHHEOKI ,82,14.42,42.31,43.27,0.00
STA,SATNA ,114,9.62,29.81,60.58,0.00
MYR,MAIHAR ,139,0.00,0.00,2.88,97.12
KTE,KATNI ,130,3.85,25.96,70.19,0.00
JBP,JABALPUR ,141,0.96,25.00,74.04,0.00
PPI,PIPARIYA ,161,0.96,14.42,84.62,0.00
ET,ITARSI JN ,142,5.77,18.27,75.96,0.00
HD,HARDA ,173,1.92,16.35,81.73,0.00
KNW,KHANDWA ,159,10.58,18.27,71.15,0.00
BAU,BURHANPUR ,162,12.50,17.31,70.19,0.00
BSL,BHUSAVAL JN ,163,13.46,13.46,73.08,0.00
MMR,MANMAD JN ,177,10.58,16.35,73.08,0.00
NK,NASIK ROAD ,176,9.62,18.27,72.12,0.00
KYN,KALYAN JN ,184,5.77,21.15,73.08,0.00
TNA,THANE ,159,14.42,17.31,68.27,0.00
LTT,LOKMANYATILAK T ,160,14.42,12.50,61.54,11.54
