Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
GHY,GUWAHATI ,5,93.27,2.88,3.85,0.00
GLPT,GOALPARA TOWN ,38,14.42,70.19,14.42,0.96
NBQ,NEW BONGAIGAON ,18,75.96,14.42,9.62,0.00
NJP,NEW JALPAIGURI ,36,37.50,48.08,14.42,0.00
KNE,KISHANGANJ ,50,14.42,61.54,24.04,0.00
KIR,KATIHAR JN ,21,74.04,13.46,12.50,0.00
BJU,BARAUNI JN ,34,14.42,26.92,8.65,50.00
PPTA,PATLIPUTRA ,24,65.38,21.15,13.46,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,28,67.31,18.27,14.42,0.00
PRYJ,PRAYAGRAJ JN ,70,24.04,44.23,31.73,0.00
CNB,KANPUR CENTRAL ,92,19.23,42.31,38.46,0.00
NDLS,NEW DELHI ,101,48.08,13.46,38.46,0.00
