Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
TBM,TAMBARAM ,11,67.31,25.00,0.00,7.69
MS,CHENNAI EGMORE ,15,63.46,25.00,3.85,7.69
NLR,NELLORE ,20,40.38,50.00,1.92,7.69
OGL,ONGOLE ,33,19.23,65.38,7.69,7.69
BZA,VIJAYAWADA JN ,51,3.85,59.62,28.85,7.69
EE,ELURU ,63,1.92,38.46,51.92,7.69
RJY,RAJAMUNDRY ,93,0.00,13.46,78.85,7.69
VSKP,VISHAKAPATNAM ,37,30.77,46.15,15.38,7.69
BAM,BRAHMAPUR ,25,46.15,38.46,7.69,7.69
KUR,KHURDA ROAD JN ,34,28.85,53.85,9.62,7.69
BBS,BHUBANESWAR ,47,19.23,48.08,25.00,7.69
CTC,CUTTACK ,48,21.15,46.15,25.00,7.69
BLS,BALASORE ,54,30.77,34.62,26.92,7.69
HIJ,HIJILLI ,56,26.92,42.31,23.08,7.69
TATA,TATANAGAR JN ,77,3.85,44.23,44.23,7.69
PRR,PURULIA JN ,109,0.00,26.92,65.38,7.69
JOC,JOYCHANDI PAHAR ,110,1.92,25.00,65.38,7.69
ASN,ASANSOL JN ,112,3.85,21.15,67.31,7.69
UDL,ANDAL JN ,115,3.85,21.15,67.31,7.69
DGR,DURGAPUR ,125,3.85,15.38,73.08,7.69
SURI,SIURI ,172,0.00,5.77,86.54,7.69
RPH,RAMPUR HAT ,160,0.00,11.54,80.77,7.69
PKR,PAKUR ,187,0.00,1.92,90.38,7.69
NFK,NEW FARAKKA JN ,194,0.00,7.69,84.62,7.69
MLDT,MALDA TOWN ,189,0.00,9.62,82.69,7.69
BOE,BARSOI JN ,211,0.00,1.92,90.38,7.69
KNE,KISHANGANJ ,226,0.00,0.00,92.31,7.69
NJP,NEW JALPAIGURI ,202,0.00,7.69,84.62,7.69
NMX,NEW MAYNAGURI ,193,0.00,17.31,75.00,7.69
DQG,DHUPGURI ,198,0.00,17.31,75.00,7.69
NCB,NEW COOCH BEHAR ,201,0.00,13.46,78.85,7.69
NOQ,NEW ALIPURDAUR ,201,0.00,13.46,78.85,7.69
FKM,FAKIRAGRAM JN ,214,0.00,11.54,80.77,7.69
KOJ,KOKRAJHAR ,218,0.00,9.62,82.69,7.69
NBQ,NEW BONGAIGAON ,201,1.92,11.54,78.85,7.69
RNY,RANGIYA JN ,225,0.00,7.69,84.62,7.69
KYQ,KAMAKHYA ,198,3.85,9.62,78.85,7.69
GHY,GUWAHATI ,212,0.00,7.69,84.62,7.69
JID,JAGI ROAD ,213,1.92,5.77,84.62,7.69
CPK,CHAPARMUKH JN ,212,3.85,9.62,78.85,7.69
NGAN,NAGAON ,207,1.92,11.54,78.85,7.69
JKB,JAKHALABANDHA ,201,3.85,11.54,76.92,7.69
SHTT,SILGHAT TOWN ,184,13.46,5.77,73.08,7.69
