Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SHTT,SILGHAT TOWN ,66,38.46,19.23,34.62,7.69
JKB,JAKHALABANDHA ,65,38.46,19.23,34.62,7.69
NGAN,NAGAON ,67,36.54,21.15,34.62,7.69
CPK,CHAPARMUKH JN ,79,25.00,26.92,40.38,7.69
JID,JAGI ROAD ,88,13.46,36.54,42.31,7.69
GHY,GUWAHATI ,78,23.08,26.92,42.31,7.69
KYQ,KAMAKHYA ,84,19.23,28.85,44.23,7.69
RNY,RANGIYA JN ,112,13.46,21.15,55.77,9.62
BNGN,BONGAIGAON ,231,0.00,0.00,1.92,98.08
NBQ,NEW BONGAIGAON ,104,21.15,21.15,48.08,9.62
KOJ,KOKRAJHAR ,115,13.46,23.08,55.77,7.69
FKM,FAKIRAGRAM JN ,119,11.54,25.00,55.77,7.69
NOQ,NEW ALIPURDAUR ,130,1.92,25.00,65.38,7.69
NCB,NEW COOCH BEHAR ,133,1.92,26.92,63.46,7.69
DQG,DHUPGURI ,137,0.00,32.69,59.62,7.69
NMX,NEW MAYNAGURI ,138,0.00,30.77,61.54,7.69
NJP,NEW JALPAIGURI ,102,26.92,15.38,50.00,7.69
KNE,KISHANGANJ ,115,7.69,34.62,50.00,7.69
BOE,BARSOI JN ,127,3.85,34.62,53.85,7.69
MLDT,MALDA TOWN ,92,38.46,7.69,46.15,7.69
NFK,NEW FARAKKA JN ,95,36.54,9.62,46.15,7.69
PKR,PAKUR ,92,40.38,9.62,42.31,7.69
RPH,RAMPUR HAT ,102,34.62,9.62,48.08,7.69
SURI,SIURI ,104,32.69,9.62,50.00,7.69
UDL,ANDAL JN ,109,30.77,11.54,50.00,7.69
DGR,DURGAPUR ,126,9.62,32.69,50.00,7.69
ASN,ASANSOL JN ,114,30.77,13.46,48.08,7.69
JOC,JOYCHANDI PAHAR ,119,25.00,17.31,50.00,7.69
PRR,PURULIA JN ,121,19.23,21.15,50.00,9.62
TATA,TATANAGAR JN ,133,21.15,11.54,57.69,9.62
HIJ,HIJILLI ,129,17.31,13.46,57.69,11.54
BLS,BALASORE ,129,15.38,15.38,57.69,11.54
CTC,CUTTACK ,150,15.38,17.31,59.62,7.69
BBS,BHUBANESWAR ,158,15.38,13.46,63.46,7.69
KUR,KHURDA ROAD JN ,158,11.54,15.38,65.38,7.69
BAM,BRAHMAPUR ,181,1.92,17.31,73.08,7.69
VSKP,VISHAKAPATNAM ,136,19.23,13.46,59.62,7.69
RJY,RAJAMUNDRY ,171,11.54,19.23,61.54,7.69
EE,ELURU ,187,9.62,21.15,61.54,7.69
BZA,VIJAYAWADA JN ,170,23.08,11.54,57.69,7.69
OGL,ONGOLE ,197,5.77,13.46,73.08,7.69
NLR,NELLORE ,183,19.23,15.38,57.69,7.69
MS,CHENNAI EGMORE ,107,42.31,7.69,42.31,7.69
TBM,TAMBARAM ,97,44.23,9.62,38.46,7.69
