Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
NDLS,NEW DELHI ,31,64.15,16.98,18.87,0.00
CNB,KANPUR CENTRAL ,97,16.98,39.62,43.40,0.00
PRYJ,PRAYAGRAJ JN ,124,3.77,33.96,60.38,1.89
DDU,PT DEEN DAYAL UPADHYAY JN ,137,24.53,16.98,56.60,1.89
PPTA,PATLIPUTRA ,165,24.53,9.43,64.15,1.89
BJU,BARAUNI JN ,249,3.77,11.32,33.96,50.94
KIR,KATIHAR JN ,198,16.98,20.75,62.26,0.00
NJP,NEW JALPAIGURI ,215,15.09,15.09,69.81,0.00
NBQ,NEW BONGAIGAON ,229,11.32,16.98,71.70,0.00
GLPT,GOALPARA TOWN ,242,5.66,20.75,73.58,0.00
GHY,GUWAHATI ,237,3.77,26.42,69.81,0.00
LMG,LUMDING JN ,286,1.89,13.21,84.91,0.00
NHLG,NEW HAFLONG ,269,3.77,15.09,81.13,0.00
BPB,BADARPUR JN ,259,11.32,5.66,83.02,0.00
SCL,SILCHAR ,181,37.74,7.55,54.72,0.00
