Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
NDLS,NEW DELHI ,17,85.58,4.81,9.62,0.00
CNB,KANPUR CENTRAL ,82,26.92,45.19,27.88,0.00
PRYJ,PRAYAGRAJ JN ,107,12.50,44.23,43.27,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,109,39.42,21.15,39.42,0.00
PPTA,PATLIPUTRA ,131,28.85,20.19,50.00,0.96
BJU,BARAUNI JN ,177,10.58,10.58,27.88,50.96
KIR,KATIHAR JN ,143,28.85,20.19,50.00,0.96
KNE,KISHANGANJ ,166,11.54,29.81,57.69,0.96
NJP,NEW JALPAIGURI ,171,20.19,23.08,56.73,0.00
NBQ,NEW BONGAIGAON ,179,14.42,26.92,58.65,0.00
GLPT,GOALPARA TOWN ,187,8.65,32.69,57.69,0.96
GHY,GUWAHATI ,150,35.58,8.65,55.77,0.00
