Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
NTSK,NEW TINSUKIA JN ,13,82.69,3.85,7.69,5.77
DBRG,DIBRUGARH ,21,69.23,15.38,9.62,5.77
MRHT,MORANHAT ,33,32.69,51.92,9.62,5.77
SRTN,SIBSAGAR TOWN ,29,50.00,34.62,9.62,5.77
SLGR,SIMALUGURI JN ,27,51.92,32.69,9.62,5.77
MXN,MARIANI JN ,28,53.85,32.69,7.69,5.77
FKG,FURKATING JN ,18,75.00,11.54,7.69,5.77
DMV,DIMAPUR ,43,28.85,51.92,13.46,5.77
DPU,DIPHU ,45,21.15,59.62,13.46,5.77
LMG,LUMDING JN ,36,44.23,40.38,9.62,5.77
GHY,GUWAHATI ,22,76.92,7.69,9.62,5.77
GLPT,GOALPARA TOWN ,62,5.77,63.46,25.00,5.77
NBQ,NEW BONGAIGAON ,49,48.08,28.85,17.31,5.77
NOQ,NEW ALIPURDAUR ,66,21.15,51.92,21.15,5.77
NCB,NEW COOCH BEHAR ,76,7.69,55.77,30.77,5.77
JPE,JALPAIGURI ROAD ,57,30.77,50.00,13.46,5.77
NJP,NEW JALPAIGURI ,49,34.62,48.08,11.54,5.77
KNE,KISHANGANJ ,75,7.69,48.08,38.46,5.77
MLDT,MALDA TOWN ,43,67.31,9.62,17.31,5.77
RPH,RAMPUR HAT ,53,48.08,23.08,17.31,11.54
BHP,BOLPUR S NIKTN ,63,26.92,40.38,21.15,11.54
DKAE,DANKUNI ,88,7.69,46.15,32.69,13.46
KGP,KHARAGPUR JN ,89,19.23,30.77,44.23,5.77
BLS,BALASORE ,90,17.31,30.77,44.23,7.69
CTC,CUTTACK ,114,9.62,23.08,59.62,7.69
BBS,BHUBANESWAR ,114,13.46,19.23,59.62,7.69
KUR,KHURDA ROAD JN ,117,13.46,19.23,59.62,7.69
BAM,BRAHMAPUR ,131,13.46,17.31,61.54,7.69
VZM,VIZIANAGRAM JN ,124,17.31,15.38,61.54,5.77
VSKP,VISHAKAPATNAM ,125,23.08,11.54,59.62,5.77
RJY,RAJAMUNDRY ,158,7.69,19.23,67.31,5.77
BZA,VIJAYAWADA JN ,175,5.77,19.23,69.23,5.77
OGL,ONGOLE ,184,7.69,13.46,73.08,5.77
NLR,NELLORE ,196,5.77,17.31,71.15,5.77
PER,PERAMBUR ,210,7.69,11.54,75.00,5.77
KPD,KATPADI JN ,206,11.54,17.31,65.38,5.77
JTJ,JOLARPETTAI ,208,7.69,21.15,65.38,5.77
KJM,KRISHNARAJAPURM ,209,9.62,17.31,67.31,5.77
SMVB,SMVT BENGALURU ,168,28.85,9.62,55.77,5.77
