Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SHTT,SILGHAT TOWN ,3,86.54,7.69,0.00,5.77
JKB,JAKHALABANDHA ,3,86.54,7.69,0.00,5.77
NGAN,NAGAON ,4,84.62,9.62,0.00,5.77
CPK,CHAPARMUKH JN ,10,75.00,17.31,1.92,5.77
JID,JAGI ROAD ,13,69.23,23.08,1.92,5.77
GHY,GUWAHATI ,17,67.31,23.08,3.85,5.77
KYQ,KAMAKHYA ,20,65.38,17.31,11.54,5.77
NBQ,NEW BONGAIGAON ,27,65.38,11.54,17.31,5.77
FKM,FAKIRAGRAM JN ,39,46.15,25.00,23.08,5.77
NOQ,NEW ALIPURDAUR ,47,23.08,44.23,26.92,5.77
NCB,NEW COOCH BEHAR ,71,5.77,51.92,36.54,5.77
NJP,NEW JALPAIGURI ,37,53.85,19.23,21.15,5.77
MLDT,MALDA TOWN ,29,59.62,15.38,19.23,5.77
RPH,RAMPUR HAT ,60,23.08,36.54,28.85,11.54
BHP,BOLPUR S NIKTN ,72,11.54,42.31,34.62,11.54
BWN,BARDDHAMAN JN ,68,23.08,28.85,36.54,11.54
KOAA,KOLKATA ,56,36.54,19.23,38.46,5.77
