Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
BHTR,BHATPAR RANI ,65,4.11,3.01,3.29,89.59
BTT,BHATNI JN ,64,34.25,27.40,33.15,5.21
DEOS,DEORIA SADAR ,63,36.16,26.58,32.05,5.21
GKP,GORAKHPUR JN ,78,23.01,31.23,40.82,4.93
KLD,KHALILABAD ,81,20.00,32.33,42.74,4.93
BST,BASTI ,86,15.62,32.88,46.58,4.93
MUR,MANKAPUR JN ,94,9.59,35.62,49.86,4.93
GD,GONDA JN ,100,6.85,35.89,52.33,4.93
BBK,BARABANKI JN ,96,20.00,21.64,46.58,11.78
LKO,LUCKNOW NR ,84,30.41,15.89,41.92,11.78
BLM,BALAMU JN ,79,21.10,30.96,36.16,11.78
HRI,HARDOI ,90,8.22,40.27,39.73,11.78
SPN,SHAHJEHANPUR ,70,25.48,36.44,33.15,4.93
BE,BAREILLY ,70,33.15,28.49,33.42,4.93
RMU,RAMPUR ,89,12.88,40.27,41.92,4.93
MB,MORADABAD ,89,18.36,32.33,44.38,4.93
AMRO,AMROHA ,94,16.99,33.42,44.66,4.93
HPU,HAPUR ,103,13.42,30.68,50.96,4.93
PKW,PILKHUA ,105,12.60,30.96,51.51,4.93
GZB,GHAZIABAD ,112,14.79,25.21,55.07,4.93
DLI,DELHI ,129,7.67,25.48,60.55,6.30
DKZ,DELHI KISHANGNJ ,135,4.66,25.21,65.21,4.93
SSB,SHAKURBASTI ,144,2.19,23.29,69.59,4.93
NNO,NANGLOI ,150,1.10,21.37,72.60,4.93
BGZ,BAHADURGARH ,154,0.55,19.18,75.34,4.93
ROK,ROHTAK JN ,154,0.55,20.55,73.97,4.93
JIND,JIND JN ,159,0.27,16.16,78.63,4.93
NRW,NARWANA JN ,164,0.00,14.25,80.82,4.93
TUN,TOHANA ,164,0.00,14.79,80.27,4.93
JHL,JAKHAL JN ,162,0.55,15.34,79.18,4.93
BRZ,BARETA ,163,0.55,15.07,79.45,4.93
BLZ,BUDHLADA ,164,0.55,13.70,80.82,4.93
MSZ,MANSA ,165,0.55,13.15,81.37,4.93
MAUR,MAUR ,168,0.55,12.60,81.92,4.93
BTI,BHATINDA JN ,124,15.62,23.56,55.89,4.93
MBY,MANDI DABWALI ,142,4.93,24.93,65.21,4.93
SGRA,SANGARIA ,151,1.64,24.38,69.04,4.93
HMH,HANUMANGARH JN ,139,1.92,28.22,64.93,4.93
PGK,PILI BANGAN ,142,1.10,27.67,66.30,4.93
SOG,SURATGARH JN ,139,1.37,29.59,64.11,4.93
MHJ,MAHAJAN ,149,0.82,24.38,69.86,4.93
LKS,LUNKARANSAR ,153,0.27,22.47,72.33,4.93
LGH,LALGARH JN ,107,26.30,17.81,50.96,4.93
