Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
DBRG,DIBRUGARH ,8,90.41,3.29,1.37,4.93
NTSK,NEW TINSUKIA JN ,10,84.11,9.32,1.64,4.93
BOJ,BHOJO ,22,31.78,61.10,2.19,4.93
SLGR,SIMALUGURI JN ,25,24.93,67.67,2.47,4.93
MXN,MARIANI JN ,25,22.47,69.86,2.74,4.93
FKG,FURKATING JN ,10,87.95,4.93,2.19,4.93
SZR,SARUPATHAR ,16,63.84,28.77,2.47,4.93
DMV,DIMAPUR ,24,43.56,48.49,3.01,4.93
DPU,DIPHU ,30,22.74,68.22,4.11,4.93
LMG,LUMDING JN ,26,40.00,51.51,3.56,4.93
HJI,HOJAI ,39,13.42,71.23,10.41,4.93
CPK,CHAPARMUKH JN ,48,13.97,58.36,22.74,4.93
JID,JAGI ROAD ,58,9.04,49.86,36.16,4.93
GHY,GUWAHATI ,17,70.41,16.44,8.22,4.93
KYQ,KAMAKHYA ,18,70.41,16.16,8.49,4.93
RNY,RANGIYA JN ,25,58.63,25.21,10.41,5.75
BPRD,BARPETA ROAD ,50,23.29,47.95,23.01,5.75
BNGN,BONGAIGAON ,29,1.10,1.92,0.55,96.44
NBQ,NEW BONGAIGAON ,39,44.11,27.95,19.45,8.49
NOQ,NEW ALIPURDAUR ,48,30.41,41.64,22.74,5.21
NCB,NEW COOCH BEHAR ,46,36.71,35.62,22.74,4.93
DQG,DHUPGURI ,47,37.53,34.79,22.74,4.93
JPE,JALPAIGURI ROAD ,49,33.42,38.63,23.01,4.93
NJP,NEW JALPAIGURI ,45,38.63,35.07,21.37,4.93
AUB,ALUABARI ROAD ,59,18.63,49.04,27.40,4.93
KNE,KISHANGANJ ,62,14.52,49.32,31.23,4.93
DLK,DALKOLHA ,68,8.22,53.42,33.42,4.93
BOE,BARSOI JN ,68,6.03,56.44,32.60,4.93
AZR,AZAMNAGAR ROAD ,72,3.84,55.07,36.16,4.93
KIR,KATIHAR JN ,31,72.88,6.85,15.34,4.93
NNA,NAUGACHIA ,44,39.18,38.36,17.53,4.93
THB,THANA BIHPUR JN ,49,30.14,45.21,19.73,4.93
MNE,MANSI JN ,60,20.27,49.59,25.21,4.93
KGG,KHAGARIA JN ,66,13.97,53.42,27.67,4.93
BGS,BEGU SARAI ,77,7.12,50.41,37.53,4.93
BJU,BARAUNI JN ,71,20.00,41.37,33.70,4.93
DSS,DALSINGH SARAI ,86,7.12,43.29,44.66,4.93
SPJ,SAMASTIPUR JN ,81,17.26,35.89,41.92,4.93
MFP,MUZAFFARPUR JN ,92,9.59,33.70,51.78,4.93
HJP,HAJIPUR JN ,96,9.32,33.42,52.33,4.93
SEE,SONPUR JN ,102,3.56,26.03,43.56,26.85
CPR,CHHAPRA ,72,32.05,25.75,37.26,4.93
EKMA,EKMA ,81,10.96,27.67,30.14,31.23
SV,SIWAN JN ,59,42.47,21.92,30.68,4.93
