Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
FZR,FIROZPUR CANT ,6,90.38,7.69,1.92,0.00
FDK,FARIDKOT ,15,76.92,21.15,1.92,0.00
KKP,KOT KAPURA ,17,75.00,23.08,1.92,0.00
BTI,BHATINDA JN ,4,96.15,1.92,1.92,0.00
KNL,KALANWALI ,21,42.31,55.77,1.92,0.00
SSA,SIRSA ,7,88.46,9.62,1.92,0.00
ADR,MANDI ADAMPUR ,20,42.31,55.77,1.92,0.00
HSR,HISAR ,11,80.77,15.38,3.85,0.00
BNW,BHIWANI ,15,73.08,23.08,3.85,0.00
ROK,ROHTAK JN ,10,92.31,3.85,3.85,0.00
SSB,SHAKURBASTI ,19,63.46,30.77,5.77,0.00
NDLS,NEW DELHI ,16,75.00,17.31,7.69,0.00
CNB,KANPUR CENTRAL ,123,5.77,26.92,67.31,0.00
PRYJ,PRAYAGRAJ JN ,159,0.00,17.31,82.69,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,171,7.69,17.31,75.00,0.00
PPTA,PATLIPUTRA ,202,5.77,7.69,86.54,0.00
BJU,BARAUNI JN ,235,1.92,7.69,90.38,0.00
KIR,KATIHAR JN ,229,5.77,3.85,88.46,1.92
NJP,NEW JALPAIGURI ,251,1.92,9.62,86.54,1.92
NBQ,NEW BONGAIGAON ,262,1.92,7.69,90.38,0.00
GHY,GUWAHATI ,276,1.92,7.69,90.38,0.00
JID,JAGI ROAD ,292,1.92,7.69,90.38,0.00
HJI,HOJAI ,311,1.92,3.85,94.23,0.00
LMG,LUMDING JN ,336,0.00,3.85,96.15,0.00
NHLG,NEW HAFLONG ,322,1.92,1.92,96.15,0.00
BPB,BADARPUR JN ,305,0.00,7.69,92.31,0.00
NKMG,NEW KARIMGANJ ,299,0.00,9.62,90.38,0.00
PTKD,PATHARKANDI ,295,0.00,9.62,90.38,0.00
DMR,DHARMANAGAR ,302,0.00,7.69,92.31,0.00
ABSA,AMBASA ,285,3.85,7.69,88.46,0.00
AGTL,AGARTALA ,230,13.46,7.69,78.85,0.00
