Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
TVC,TRIVANDRUM CNTL ,6,86.54,7.69,1.92,3.85
QLN,KOLLAM JN ,15,65.38,28.85,1.92,3.85
KYJ,KAYANKULAM JN ,17,59.62,34.62,1.92,3.85
MVLK,MAVELIKARA ,19,53.85,40.38,1.92,3.85
CNGR,CHENGANNUR ,24,34.62,59.62,1.92,3.85
TRVL,TIRUVALLA ,27,26.92,63.46,5.77,3.85
KTYM,KOTTAYAM ,21,42.31,51.92,1.92,3.85
ERN,ERNAKULAM TOWN ,18,57.69,34.62,3.85,3.85
AWY,ALUVA ,20,51.92,38.46,5.77,3.85
TCR,THRISUR ,26,42.31,44.23,9.62,3.85
PGT,PALAKKAD JN ,17,63.46,26.92,5.77,3.85
CBE,COIMBATORE JN ,23,44.23,46.15,5.77,3.85
TUP,TIRUPPUR ,28,40.38,48.08,7.69,3.85
ED,ERODE JN ,34,25.00,61.54,9.62,3.85
SA,SALEM JN ,35,15.38,69.23,11.54,3.85
JTJ,JOLARPETTAI ,29,38.46,46.15,11.54,3.85
KPD,KATPADI JN ,36,21.15,63.46,11.54,3.85
AJJ,ARAKKONAM ,39,13.46,65.38,15.38,5.77
PER,PERAMBUR ,45,9.62,65.38,19.23,5.77
OGL,ONGOLE ,62,0.00,59.62,36.54,3.85
BZA,VIJAYAWADA JN ,70,3.85,44.23,48.08,3.85
RJY,RAJAMUNDRY ,99,0.00,17.31,78.85,3.85
VSKP,VISHAKAPATNAM ,128,1.92,11.54,82.69,3.85
VZM,VIZIANAGRAM JN ,139,1.92,7.69,86.54,3.85
CHE,SRIKAKULAM ROAD ,145,0.00,9.62,86.54,3.85
PSA,PALASA ,135,1.92,13.46,80.77,3.85
BAM,BRAHMAPUR ,144,0.00,5.77,90.38,3.85
BALU,BALUGAN ,169,0.00,3.85,92.31,3.85
KUR,KHURDA ROAD JN ,167,0.00,1.92,94.23,3.85
BBS,BHUBANESWAR ,176,0.00,0.00,96.15,3.85
CTC,CUTTACK ,170,0.00,3.85,92.31,3.85
JJKR,JAJPUR K ROAD ,186,0.00,1.92,94.23,3.85
BHC,BHADRAKH ,186,0.00,1.92,94.23,3.85
BLS,BALASORE ,201,0.00,3.85,92.31,3.85
KGP,KHARAGPUR JN ,218,0.00,3.85,92.31,3.85
DKAE,DANKUNI ,237,0.00,1.92,88.46,9.62
BHP,BOLPUR S NIKTN ,299,0.00,0.00,90.38,9.62
RPH,RAMPUR HAT ,321,0.00,0.00,90.38,9.62
PKR,PAKUR ,339,0.00,0.00,90.38,9.62
MLDT,MALDA TOWN ,314,0.00,1.92,94.23,3.85
KNE,KISHANGANJ ,359,0.00,0.00,96.15,3.85
NJP,NEW JALPAIGURI ,344,0.00,0.00,96.15,3.85
DQG,DHUPGURI ,348,0.00,0.00,96.15,3.85
NCB,NEW COOCH BEHAR ,356,0.00,0.00,96.15,3.85
NOQ,NEW ALIPURDAUR ,364,0.00,0.00,96.15,3.85
KOJ,KOKRAJHAR ,373,0.00,0.00,96.15,3.85
NBQ,NEW BONGAIGAON ,353,0.00,1.92,94.23,3.85
BPRD,BARPETA ROAD ,388,0.00,1.92,94.23,3.85
RNY,RANGIYA JN ,447,0.00,0.00,96.15,3.85
KYQ,KAMAKHYA ,455,0.00,1.92,94.23,3.85
GHY,GUWAHATI ,475,0.00,0.00,96.15,3.85
HJI,HOJAI ,529,0.00,0.00,96.15,3.85
LMG,LUMDING JN ,567,0.00,0.00,94.23,5.77
MBG,MAIBANG ,570,0.00,0.00,96.15,3.85
NHLG,NEW HAFLONG ,552,0.00,0.00,96.15,3.85
BPB,BADARPUR JN ,512,0.00,1.92,94.23,3.85
SCL,SILCHAR ,479,1.92,0.00,94.23,3.85
