Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
AGTL,AGARTALA ,3,96.15,3.85,0.00,0.00
DMR,DHARMANAGAR ,16,50.00,50.00,0.00,0.00
NKMG,NEW KARIMGANJ ,18,57.69,40.38,1.92,0.00
BPB,BADARPUR JN ,29,30.77,61.54,7.69,0.00
NHLG,NEW HAFLONG ,22,53.85,34.62,11.54,0.00
MYD,MANDERDISA ,18,65.38,26.92,7.69,0.00
GHY,GUWAHATI ,36,57.69,19.23,23.08,0.00
GLPT,GOALPARA TOWN ,88,0.00,46.15,51.92,1.92
NBQ,NEW BONGAIGAON ,74,17.31,34.62,48.08,0.00
KOJ,KOKRAJHAR ,85,9.62,34.62,55.77,0.00
NOQ,NEW ALIPURDAUR ,98,3.85,34.62,61.54,0.00
NCB,NEW COOCH BEHAR ,127,0.00,23.08,76.92,0.00
NJP,NEW JALPAIGURI ,98,15.38,21.15,63.46,0.00
KNE,KISHANGANJ ,118,11.54,9.62,78.85,0.00
MLDT,MALDA TOWN ,132,13.46,3.85,82.69,0.00
JRLE,JANGIPUR ROAD ,156,11.54,3.85,84.62,0.00
AZ,AZIMGANJ JN ,155,13.46,3.85,82.69,0.00
KWAE,KATWA ,157,13.46,3.85,82.69,0.00
NDAE,NABADWIP DHAM ,162,13.46,1.92,84.62,0.00
BDC,BANDEL JN ,166,13.46,3.85,82.69,0.00
KOAA,KOLKATA ,165,13.46,5.77,80.77,0.00
