Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
AGTL,AGARTALA ,41,81.13,7.55,11.32,0.00
ABSA,AMBASA ,57,50.94,33.96,15.09,0.00
DMR,DHARMANAGAR ,52,62.26,24.53,13.21,0.00
PTKD,PATHARKANDI ,53,62.26,24.53,13.21,0.00
NKMG,NEW KARIMGANJ ,51,62.26,24.53,13.21,0.00
BPB,BADARPUR JN ,56,56.60,28.30,15.09,0.00
NHLG,NEW HAFLONG ,56,45.28,37.74,16.98,0.00
LMG,LUMDING JN ,66,41.51,35.85,22.64,0.00
HJI,HOJAI ,65,41.51,41.51,16.98,0.00
JID,JAGI ROAD ,70,26.42,52.83,20.75,0.00
GHY,GUWAHATI ,44,86.79,0.00,13.21,0.00
NBQ,NEW BONGAIGAON ,56,62.26,18.87,18.87,0.00
NJP,NEW JALPAIGURI ,82,24.53,49.06,26.42,0.00
KIR,KATIHAR JN ,69,56.60,20.75,22.64,0.00
BJU,BARAUNI JN ,92,11.32,62.26,26.42,0.00
PPTA,PATLIPUTRA ,81,52.83,22.64,24.53,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,92,54.72,15.09,30.19,0.00
PRYJ,PRAYAGRAJ JN ,145,7.55,39.62,52.83,0.00
CNB,KANPUR CENTRAL ,186,3.77,15.09,81.13,0.00
NDLS,NEW DELHI ,262,7.55,3.77,88.68,0.00
SSB,SHAKURBASTI ,295,0.00,11.32,88.68,0.00
ROK,ROHTAK JN ,305,1.89,5.66,92.45,0.00
BNW,BHIWANI ,319,0.00,5.66,94.34,0.00
HSR,HISAR ,325,0.00,5.66,94.34,0.00
ADR,MANDI ADAMPUR ,328,0.00,5.66,94.34,0.00
SSA,SIRSA ,311,0.00,7.55,92.45,0.00
KNL,KALANWALI ,320,0.00,5.66,94.34,0.00
BTI,BHATINDA JN ,263,5.66,9.43,84.91,0.00
KKP,KOT KAPURA ,286,1.89,7.55,90.57,0.00
FDK,FARIDKOT ,289,1.89,7.55,90.57,0.00
FZR,FIROZPUR CANT ,265,5.66,9.43,84.91,0.00
