Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SMVB,SMVT BENGALURU ,166,49.04,11.54,34.62,4.81
WFD,WHITEFIELD ,182,40.38,13.46,41.35,4.81
KPD,KATPADI JN ,205,27.88,22.12,45.19,4.81
PER,PERAMBUR ,209,24.04,24.04,47.12,4.81
BZA,VIJAYAWADA JN ,247,10.58,21.15,63.46,4.81
DVD,DUVVADA ,229,32.69,6.73,55.77,4.81
VSKP,VISHAKAPATNAM ,237,29.81,8.65,56.73,4.81
VZM,VIZIANAGRAM JN ,243,21.15,16.35,57.69,4.81
CHE,SRIKAKULAM ROAD ,247,20.19,18.27,55.77,5.77
PSA,PALASA ,243,25.00,12.50,56.73,5.77
BAM,BRAHMAPUR ,259,12.50,23.08,58.65,5.77
KUR,KHURDA ROAD JN ,285,2.88,23.08,68.27,5.77
BBS,BHUBANESWAR ,289,2.88,19.23,72.12,5.77
CTC,CUTTACK ,299,0.00,17.31,76.92,5.77
BHC,BHADRAKH ,277,8.65,23.08,61.54,6.73
KGP,KHARAGPUR JN ,314,4.81,16.35,74.04,4.81
ADL,ANDUL ,329,2.88,16.35,75.96,4.81
DKAE,DANKUNI ,331,4.81,15.38,70.19,9.62
RPH,RAMPUR HAT ,393,0.96,5.77,83.65,9.62
MLDT,MALDA TOWN ,402,1.92,5.77,87.50,4.81
KNE,KISHANGANJ ,450,0.96,3.85,90.38,4.81
NJP,NEW JALPAIGURI ,438,1.92,3.85,89.42,4.81
NBQ,NEW BONGAIGAON ,456,0.96,4.81,89.42,4.81
KYQ,KAMAKHYA ,472,1.92,1.92,91.35,4.81
GHY,GUWAHATI ,497,0.00,3.85,91.35,4.81
NHLG,NEW HAFLONG ,518,0.96,1.92,92.31,4.81
BPB,BADARPUR JN ,506,0.00,3.85,91.35,4.81
NKMG,NEW KARIMGANJ ,503,0.00,3.85,91.35,4.81
DMR,DHARMANAGAR ,493,0.96,3.85,90.38,4.81
ABSA,AMBASA ,492,0.96,3.85,89.42,5.77
AGTL,AGARTALA ,457,5.77,5.77,82.69,5.77
