Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SCL,SILCHAR ,1,100.00,0.00,0.00,0.00
BPB,BADARPUR JN ,6,86.79,13.21,0.00,0.00
NHGJ,NEW HARANGAJAO ,14,66.04,32.08,1.89,0.00
NHLG,NEW HAFLONG ,18,62.26,33.96,3.77,0.00
MBG,MAIBANG ,27,22.64,75.47,1.89,0.00
LMG,LUMDING JN ,13,66.04,32.08,1.89,0.00
LKA,LANKA ,16,54.72,43.40,1.89,0.00
HJI,HOJAI ,18,49.06,49.06,1.89,0.00
GHY,GUWAHATI ,62,30.19,16.98,52.83,0.00
KYQ,KAMAKHYA ,78,22.64,18.87,58.49,0.00
GLPT,GOALPARA TOWN ,102,1.89,28.30,69.81,0.00
NBQ,NEW BONGAIGAON ,83,16.98,22.64,60.38,0.00
KOJ,KOKRAJHAR ,90,15.09,20.75,64.15,0.00
GOGH,GOSSAIGAON HAT ,105,1.89,30.19,67.92,0.00
NOQ,NEW ALIPURDAUR ,109,7.55,22.64,69.81,0.00
NCB,NEW COOCH BEHAR ,130,0.00,20.75,79.25,0.00
DQG,DHUPGURI ,121,3.77,20.75,75.47,0.00
NJP,NEW JALPAIGURI ,112,13.21,16.98,69.81,0.00
AUB,ALUABARI ROAD ,126,7.55,18.87,73.58,0.00
KNE,KISHANGANJ ,136,5.66,20.75,73.58,0.00
BOE,BARSOI JN ,151,1.89,20.75,77.36,0.00
KDPR,KUMEDPUR ,159,1.89,18.87,79.25,0.00
MLDT,MALDA TOWN ,150,7.55,16.98,75.47,0.00
JRLE,JANGIPUR ROAD ,168,9.43,11.32,79.25,0.00
AZ,AZIMGANJ JN ,164,9.43,9.43,81.13,0.00
KWAE,KATWA ,158,13.21,7.55,79.25,0.00
BDC,BANDEL JN ,148,15.09,15.09,69.81,0.00
NH,NAIHATI JN ,147,13.21,18.87,67.92,0.00
KOAA,KOLKATA ,134,22.64,13.21,64.15,0.00
