Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
GHY,GUWAHATI ,15,87.12,6.85,6.03,0.00
KYQ,KAMAKHYA ,16,85.75,7.40,6.85,0.00
NBQ,NEW BONGAIGAON ,32,42.19,44.66,13.15,0.00
NOQ,NEW ALIPURDAUR ,39,33.97,45.75,20.27,0.00
NCB,NEW COOCH BEHAR ,55,13.42,56.44,30.14,0.00
FLK,FALAKATA ,55,10.41,65.21,24.38,0.00
DQG,DHUPGURI ,53,12.33,49.04,21.92,16.71
NJP,NEW JALPAIGURI ,40,42.74,33.97,23.29,0.00
KNE,KISHANGANJ ,53,16.44,57.26,26.30,0.00
MLDT,MALDA TOWN ,46,32.60,42.19,25.21,0.00
NFK,NEW FARAKKA JN ,43,58.36,15.34,26.30,0.00
RPH,RAMPUR HAT ,59,27.95,36.44,35.34,0.27
BHP,BOLPUR S NIKTN ,71,16.71,42.19,40.82,0.27
BWN,BARDDHAMAN JN ,58,36.99,30.14,32.60,0.27
HWH,HOWRAH JN ,49,49.59,20.00,30.41,0.00
