Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SMVB,SMVT BENGALURU ,9,84.08,7.64,2.55,5.73
KJM,KRISHNARAJAPURM ,19,65.61,24.84,3.82,5.73
BWT,BANGARAPET ,28,33.12,53.50,7.64,5.73
JTJ,JOLARPETTAI ,22,63.69,23.57,7.01,5.73
KPD,KATPADI JN ,26,52.87,31.85,9.55,5.73
AJJ,ARAKKONAM ,32,42.68,38.22,13.38,5.73
PER,PERAMBUR ,37,26.75,53.50,14.01,5.73
OGL,ONGOLE ,40,25.48,50.32,18.47,5.73
BZA,VIJAYAWADA JN ,47,28.66,42.04,23.57,5.73
RJY,RAJAMUNDRY ,90,7.01,27.39,59.87,5.73
VSKP,VISHAKAPATNAM ,93,18.47,22.93,52.87,5.73
VZM,VIZIANAGRAM JN ,105,10.19,28.66,55.41,5.73
CHE,SRIKAKULAM ROAD ,110,5.73,31.21,56.69,6.37
PSA,PALASA ,104,15.92,22.93,54.78,6.37
BAM,BRAHMAPUR ,104,15.92,24.20,53.50,6.37
BALU,BALUGAN ,115,6.37,26.75,60.51,6.37
KUR,KHURDA ROAD JN ,126,3.82,25.48,64.33,6.37
BBS,BHUBANESWAR ,130,3.82,24.84,64.97,6.37
CTC,CUTTACK ,131,2.55,21.02,66.24,10.19
JJKR,JAJPUR K ROAD ,149,1.27,12.74,75.80,10.19
BHC,BHADRAKH ,126,5.73,21.66,62.42,10.19
BLS,BALASORE ,139,3.82,19.11,66.88,10.19
KGP,KHARAGPUR JN ,148,2.55,17.20,70.70,9.55
DKAE,DANKUNI ,155,6.37,9.55,73.25,10.83
BHP,BOLPUR S NIKTN ,189,3.18,6.37,79.62,10.83
RPH,RAMPUR HAT ,201,3.82,5.73,79.62,10.83
NFK,NEW FARAKKA JN ,201,2.55,6.37,85.35,5.73
MLDT,MALDA TOWN ,186,4.46,10.83,78.98,5.73
BOE,BARSOI JN ,225,0.00,6.37,87.90,5.73
KNE,KISHANGANJ ,244,0.00,5.10,89.17,5.73
NJP,NEW JALPAIGURI ,230,1.91,5.10,87.26,5.73
JPE,JALPAIGURI ROAD ,233,2.55,3.82,87.90,5.73
DQG,DHUPGURI ,240,1.91,3.18,89.17,5.73
NCB,NEW COOCH BEHAR ,247,1.91,2.55,89.81,5.73
NOQ,NEW ALIPURDAUR ,250,1.91,1.91,90.45,5.73
KOJ,KOKRAJHAR ,270,1.27,1.27,91.72,5.73
NBQ,NEW BONGAIGAON ,255,1.91,3.82,88.54,5.73
BPRD,BARPETA ROAD ,295,1.27,1.91,89.81,7.01
RNY,RANGIYA JN ,329,0.64,2.55,89.81,7.01
KYQ,KAMAKHYA ,326,1.91,4.46,87.90,5.73
GHY,GUWAHATI ,311,3.82,5.10,85.35,5.73
