Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SCL,SILCHAR ,18,84.91,5.66,5.66,3.77
BPB,BADARPUR JN ,33,62.26,22.64,11.32,3.77
NHLG,NEW HAFLONG ,29,67.92,18.87,9.43,3.77
MBG,MAIBANG ,25,69.81,16.98,9.43,3.77
LMG,LUMDING JN ,46,30.19,47.17,18.87,3.77
HJI,HOJAI ,51,26.42,47.17,22.64,3.77
GHY,GUWAHATI ,78,24.53,24.53,47.17,3.77
KYQ,KAMAKHYA ,82,20.75,28.30,47.17,3.77
RNY,RANGIYA JN ,106,5.66,28.30,62.26,3.77
BPRD,BARPETA ROAD ,132,0.00,18.87,77.36,3.77
BNGN,BONGAIGAON ,219,0.00,0.00,3.77,96.23
NBQ,NEW BONGAIGAON ,95,11.32,22.64,58.49,7.55
KOJ,KOKRAJHAR ,105,11.32,24.53,60.38,3.77
NOQ,NEW ALIPURDAUR ,124,3.77,22.64,69.81,3.77
NCB,NEW COOCH BEHAR ,132,1.89,15.09,79.25,3.77
DQG,DHUPGURI ,137,0.00,15.09,79.25,5.66
NJP,NEW JALPAIGURI ,109,18.87,18.87,58.49,3.77
KNE,KISHANGANJ ,133,7.55,15.09,73.58,3.77
MLDT,MALDA TOWN ,113,24.53,22.64,49.06,3.77
PKR,PAKUR ,114,24.53,22.64,43.40,9.43
RPH,RAMPUR HAT ,113,18.87,20.75,50.94,9.43
BHP,BOLPUR S NIKTN ,129,7.55,22.64,60.38,9.43
DKAE,DANKUNI ,168,1.89,20.75,64.15,13.21
KGP,KHARAGPUR JN ,170,7.55,20.75,67.92,3.77
BLS,BALASORE ,177,5.66,22.64,66.04,5.66
BHC,BHADRAKH ,192,3.77,16.98,73.58,5.66
JJKR,JAJPUR K ROAD ,200,1.89,13.21,79.25,5.66
CTC,CUTTACK ,213,3.77,11.32,79.25,5.66
BBS,BHUBANESWAR ,220,3.77,11.32,79.25,5.66
KUR,KHURDA ROAD JN ,222,3.77,11.32,79.25,5.66
BALU,BALUGAN ,241,1.89,7.55,84.91,5.66
BAM,BRAHMAPUR ,243,3.77,5.66,84.91,5.66
PSA,PALASA ,222,3.77,16.98,73.58,5.66
CHE,SRIKAKULAM ROAD ,232,3.77,5.66,84.91,5.66
VZM,VIZIANAGRAM JN ,248,3.77,5.66,86.79,3.77
VSKP,VISHAKAPATNAM ,254,5.66,7.55,83.02,3.77
RJY,RAJAMUNDRY ,284,0.00,7.55,88.68,3.77
BZA,VIJAYAWADA JN ,291,1.89,3.77,90.57,3.77
PER,PERAMBUR ,312,3.77,3.77,88.68,3.77
AJJ,ARAKKONAM ,310,3.77,3.77,88.68,3.77
KPD,KATPADI JN ,305,3.77,3.77,88.68,3.77
JTJ,JOLARPETTAI ,302,3.77,5.66,86.79,3.77
SA,SALEM JN ,310,3.77,7.55,84.91,3.77
ED,ERODE JN ,309,3.77,9.43,83.02,3.77
TUP,TIRUPPUR ,310,1.89,13.21,81.13,3.77
CBE,COIMBATORE JN ,300,3.77,13.21,79.25,3.77
PGT,PALAKKAD JN ,309,3.77,15.09,77.36,3.77
TCR,THRISUR ,316,9.43,7.55,79.25,3.77
AWY,ALUVA ,309,13.21,3.77,79.25,3.77
ERN,ERNAKULAM TOWN ,315,13.21,3.77,79.25,3.77
KTYM,KOTTAYAM ,316,13.21,3.77,79.25,3.77
TRVL,TIRUVALLA ,314,13.21,3.77,79.25,3.77
CNGR,CHENGANNUR ,316,13.21,3.77,79.25,3.77
MVLK,MAVELIKARA ,318,13.21,3.77,79.25,3.77
KYJ,KAYANKULAM JN ,317,13.21,3.77,79.25,3.77
QLN,KOLLAM JN ,317,9.43,7.55,79.25,3.77
TVC,TRIVANDRUM CNTL ,292,15.09,1.89,79.25,3.77
