Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
GHY,GUWAHATI ,13,75.00,21.15,3.85,0.00
GLPT,GOALPARA TOWN ,57,3.85,65.38,30.77,0.00
NBQ,NEW BONGAIGAON ,42,23.08,57.69,19.23,0.00
KOJ,KOKRAJHAR ,50,19.23,53.85,26.92,0.00
NOQ,NEW ALIPURDAUR ,65,9.62,48.08,42.31,0.00
NCB,NEW COOCH BEHAR ,95,0.00,30.77,69.23,0.00
NJP,NEW JALPAIGURI ,66,23.08,36.54,40.38,0.00
KNE,KISHANGANJ ,94,0.00,46.15,53.85,0.00
MLDT,MALDA TOWN ,124,3.85,13.46,82.69,0.00
JRLE,JANGIPUR ROAD ,146,1.92,7.69,90.38,0.00
AZ,AZIMGANJ JN ,148,1.92,9.62,88.46,0.00
KWAE,KATWA ,150,3.85,11.54,84.62,0.00
NDAE,NABADWIP DHAM ,158,3.85,11.54,84.62,0.00
BDC,BANDEL JN ,160,7.69,7.69,84.62,0.00
KOAA,KOLKATA ,156,7.69,9.62,82.69,0.00
