Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
AGTL,AGARTALA ,14,30.19,3.77,1.89,64.15
ABSA,AMBASA ,27,15.09,18.87,1.89,64.15
DMR,DHARMANAGAR ,28,16.98,15.09,3.77,64.15
BPB,BADARPUR JN ,41,15.09,15.09,5.66,64.15
NHLG,NEW HAFLONG ,36,13.21,16.98,5.66,64.15
MYD,MANDERDISA ,26,20.75,11.32,3.77,64.15
HJI,HOJAI ,43,11.32,18.87,5.66,64.15
CPK,CHAPARMUKH JN ,80,0.00,15.09,20.75,64.15
GHY,GUWAHATI ,85,3.77,11.32,20.75,64.15
KYQ,KAMAKHYA ,48,49.06,18.87,32.08,0.00
RNY,RANGIYA JN ,67,33.96,28.30,37.74,0.00
BNGN,BONGAIGAON ,138,0.00,1.89,1.89,96.23
NBQ,NEW BONGAIGAON ,66,30.19,26.42,39.62,3.77
NCB,NEW COOCH BEHAR ,92,13.21,37.74,49.06,0.00
NJP,NEW JALPAIGURI ,84,33.96,22.64,43.40,0.00
KNE,KISHANGANJ ,99,15.09,37.74,47.17,0.00
KIR,KATIHAR JN ,99,22.64,30.19,47.17,0.00
NNA,NAUGACHIA ,101,24.53,30.19,45.28,0.00
KGG,KHAGARIA JN ,110,15.09,41.51,43.40,0.00
BGS,BEGU SARAI ,117,13.21,39.62,47.17,0.00
BJU,BARAUNI JN ,142,3.77,13.21,32.08,50.94
HJP,HAJIPUR JN ,103,28.30,26.42,45.28,0.00
PPTA,PATLIPUTRA ,92,39.62,20.75,39.62,0.00
DNR,DANAPUR ,103,24.53,32.08,43.40,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,84,50.94,13.21,35.85,0.00
MZP,MIRZAPUR ,103,30.19,22.64,47.17,0.00
PCOI,PRAYAGRAJ CHHEOKI ,121,16.98,22.64,60.38,0.00
STA,SATNA ,176,3.77,22.64,73.58,0.00
KTE,KATNI ,193,1.89,13.21,84.91,0.00
JBP,JABALPUR ,205,0.00,9.43,90.57,0.00
ET,ITARSI JN ,188,5.66,13.21,81.13,0.00
KNW,KHANDWA ,191,9.43,13.21,77.36,0.00
BSL,BHUSAVAL JN ,200,9.43,13.21,77.36,0.00
JL,JALGAON JN ,197,11.32,15.09,73.58,0.00
MMR,MANMAD JN ,222,7.55,13.21,79.25,0.00
NK,NASIK ROAD ,231,5.66,15.09,79.25,0.00
KYN,KALYAN JN ,253,0.00,16.98,83.02,0.00
TNA,THANE ,207,15.09,15.09,69.81,0.00
LTT,LOKMANYATILAK T ,222,9.43,9.43,56.60,24.53
