Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
DBRG,DIBRUGARH ,5,96.55,3.07,0.38,0.00
MRHT,MORANHAT ,14,60.15,39.08,0.77,0.00
SLGR,SIMALUGURI JN ,13,69.35,29.89,0.77,0.00
MXN,MARIANI JN ,16,63.22,35.25,1.53,0.00
DMV,DIMAPUR ,20,49.43,47.51,3.07,0.00
LMG,LUMDING JN ,17,62.45,34.10,3.45,0.00
GHY,GUWAHATI ,11,79.31,18.01,2.68,0.00
BNGN,BONGAIGAON ,13,2.68,1.53,0.00,95.79
NBQ,NEW BONGAIGAON ,25,57.85,27.97,9.96,4.21
KOJ,KOKRAJHAR ,24,62.07,27.59,10.34,0.00
NOQ,NEW ALIPURDAUR ,37,39.85,42.15,18.01,0.00
NCB,NEW COOCH BEHAR ,38,39.85,40.61,19.54,0.00
NJP,NEW JALPAIGURI ,30,59.77,23.75,16.48,0.00
KNE,KISHANGANJ ,42,43.68,35.25,21.07,0.00
KIR,KATIHAR JN ,34,59.77,20.69,19.54,0.00
SPJ,SAMASTIPUR JN ,29,63.98,21.46,14.56,0.00
MFP,MUZAFFARPUR JN ,35,57.47,24.14,18.39,0.00
HJP,HAJIPUR JN ,33,60.15,19.92,19.92,0.00
CPR,CHHAPRA ,28,70.50,14.56,14.94,0.00
BUI,BALLIA ,38,53.26,26.82,16.86,3.07
BSB,VARANASI JN ,31,66.67,14.94,15.33,3.07
LKO,LUCKNOW NR ,34,69.73,12.26,18.01,0.00
BE,BAREILLY ,42,55.56,24.90,19.54,0.00
MB,MORADABAD ,39,59.00,21.46,19.54,0.00
NDLS,NEW DELHI ,43,59.00,19.92,21.07,0.00
