Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
LTT,LOKMANYATILAK T ,11,86.54,5.77,7.69,0.00
TNA,THANE ,16,80.77,11.54,7.69,0.00
KYN,KALYAN JN ,20,73.08,19.23,7.69,0.00
NK,NASIK ROAD ,26,73.08,15.38,11.54,0.00
MMR,MANMAD JN ,33,55.77,32.69,11.54,0.00
JL,JALGAON JN ,45,15.38,67.31,17.31,0.00
BSL,BHUSAVAL JN ,42,26.92,59.62,13.46,0.00
KNW,KHANDWA ,33,61.54,17.31,21.15,0.00
ET,ITARSI JN ,42,57.69,21.15,21.15,0.00
JBP,JABALPUR ,50,40.38,32.69,26.92,0.00
KTE,KATNI ,61,25.00,42.31,32.69,0.00
STA,SATNA ,69,7.69,55.77,36.54,0.00
PCOI,PRAYAGRAJ CHHEOKI ,94,5.77,46.15,48.08,0.00
MZP,MIRZAPUR ,105,3.85,44.23,51.92,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,79,38.46,25.00,36.54,0.00
DNR,DANAPUR ,117,23.08,19.23,57.69,0.00
PPTA,PATLIPUTRA ,112,25.00,21.15,53.85,0.00
HJP,HAJIPUR JN ,106,34.62,11.54,53.85,0.00
BJU,BARAUNI JN ,129,11.54,7.69,30.77,50.00
BGS,BEGU SARAI ,130,21.15,15.38,63.46,0.00
KGG,KHAGARIA JN ,135,21.15,15.38,63.46,0.00
NNA,NAUGACHIA ,144,11.54,19.23,69.23,0.00
KIR,KATIHAR JN ,125,23.08,21.15,55.77,0.00
KNE,KISHANGANJ ,157,1.92,26.92,71.15,0.00
NJP,NEW JALPAIGURI ,143,11.54,30.77,57.69,0.00
NCB,NEW COOCH BEHAR ,152,9.62,32.69,57.69,0.00
NBQ,NEW BONGAIGAON ,145,17.31,21.15,61.54,0.00
RNY,RANGIYA JN ,188,5.77,15.38,78.85,0.00
KYQ,KAMAKHYA ,168,21.15,17.31,61.54,0.00
GHY,GUWAHATI ,279,0.00,0.00,36.54,63.46
CPK,CHAPARMUKH JN ,316,0.00,0.00,36.54,63.46
HJI,HOJAI ,309,0.00,0.00,34.62,65.38
MYD,MANDERDISA ,329,0.00,0.00,34.62,65.38
NHLG,NEW HAFLONG ,344,0.00,0.00,34.62,65.38
BPB,BADARPUR JN ,313,0.00,1.92,34.62,63.46
DMR,DHARMANAGAR ,285,0.00,1.92,34.62,63.46
ABSA,AMBASA ,275,0.00,3.85,32.69,63.46
AGTL,AGARTALA ,237,3.85,1.92,30.77,63.46
