Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
NDLS,NEW DELHI ,1,98.85,0.38,0.77,0.00
MB,MORADABAD ,11,83.08,14.62,2.31,0.00
BE,BAREILLY ,30,26.54,66.92,6.54,0.00
LKO,LUCKNOW NR ,35,30.00,56.15,13.85,0.00
BSB,VARANASI JN ,34,31.92,51.15,13.85,3.08
BUI,BALLIA ,47,17.69,53.08,26.15,3.08
CPR,CHHAPRA ,53,19.62,48.85,31.54,0.00
HJP,HAJIPUR JN ,50,24.23,45.77,30.00,0.00
MFP,MUZAFFARPUR JN ,57,17.31,47.69,35.00,0.00
SPJ,SAMASTIPUR JN ,52,28.08,36.92,31.15,3.85
KIR,KATIHAR JN ,48,36.54,35.00,25.77,2.69
KNE,KISHANGANJ ,68,6.92,52.31,38.08,2.69
NJP,NEW JALPAIGURI ,57,21.92,46.15,31.92,0.00
NCB,NEW COOCH BEHAR ,47,44.23,29.62,26.15,0.00
NOQ,NEW ALIPURDAUR ,44,48.85,26.15,25.00,0.00
KOJ,KOKRAJHAR ,57,29.62,40.00,30.38,0.00
NBQ,NEW BONGAIGAON ,45,48.85,25.77,25.38,0.00
GHY,GUWAHATI ,85,14.62,40.77,44.62,0.00
LMG,LUMDING JN ,83,18.85,32.69,48.46,0.00
DMV,DIMAPUR ,109,4.62,34.23,61.15,0.00
MXN,MARIANI JN ,69,33.08,27.31,39.62,0.00
SLGR,SIMALUGURI JN ,72,29.62,30.38,40.00,0.00
MRHT,MORANHAT ,70,34.62,26.54,38.85,0.00
DBRG,DIBRUGARH ,59,52.69,12.69,34.62,0.00
