Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
KOAA,KOLKATA ,19,81.13,7.55,11.32,0.00
BDC,BANDEL JN ,26,71.70,15.09,13.21,0.00
NDAE,NABADWIP DHAM ,34,54.72,28.30,16.98,0.00
KWAE,KATWA ,33,64.15,16.98,18.87,0.00
AZ,AZIMGANJ JN ,25,71.70,9.43,18.87,0.00
JRLE,JANGIPUR ROAD ,34,49.06,30.19,20.75,0.00
MLDT,MALDA TOWN ,75,7.55,52.83,39.62,0.00
KNE,KISHANGANJ ,140,0.00,7.55,92.45,0.00
NJP,NEW JALPAIGURI ,135,5.66,3.77,90.57,0.00
NCB,NEW COOCH BEHAR ,177,1.89,7.55,90.57,0.00
NOQ,NEW ALIPURDAUR ,169,1.89,7.55,90.57,0.00
KOJ,KOKRAJHAR ,191,3.77,5.66,90.57,0.00
NBQ,NEW BONGAIGAON ,180,7.55,0.00,92.45,0.00
GLPT,GOALPARA TOWN ,194,5.66,1.89,90.57,1.89
GHY,GUWAHATI ,186,3.77,7.55,88.68,0.00
