Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
AGTL,AGARTALA ,11,94.23,0.00,5.77,0.00
ABSA,AMBASA ,23,78.85,11.54,9.62,0.00
DMR,DHARMANAGAR ,18,88.46,1.92,9.62,0.00
NKMG,NEW KARIMGANJ ,17,88.46,3.85,7.69,0.00
BPB,BADARPUR JN ,23,76.92,15.38,7.69,0.00
HJI,HOJAI ,22,69.23,21.15,9.62,0.00
GHY,GUWAHATI ,25,63.46,23.08,13.46,0.00
RNY,RANGIYA JN ,29,51.92,30.77,11.54,5.77
BPRD,BARPETA ROAD ,43,17.31,63.46,13.46,5.77
NJP,NEW JALPAIGURI ,47,48.08,25.00,26.92,0.00
MLDT,MALDA TOWN ,44,11.54,0.00,1.92,86.54
BGP,BHAGALPUR ,41,11.54,0.00,1.92,86.54
JMP,JAMALPUR JN ,41,11.54,0.00,1.92,86.54
PNBE,PATNA JN ,43,9.62,1.92,1.92,86.54
KIR,KATIHAR JN ,55,46.15,7.69,32.69,13.46
BJU,BARAUNI JN ,70,30.77,19.23,36.54,13.46
PPTA,PATLIPUTRA ,57,40.38,17.31,28.85,13.46
DDU,PT DEEN DAYAL UPADHYAY JN ,50,57.69,19.23,23.08,0.00
CNB,KANPUR CENTRAL ,89,25.00,36.54,38.46,0.00
ANVT,ANAND VIHAR TRM ,98,48.08,11.54,40.38,0.00
