Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
KOAA,KOLKATA ,161,15.38,17.31,67.31,0.00
NH,NAIHATI JN ,153,19.23,19.23,61.54,0.00
BDC,BANDEL JN ,165,15.38,13.46,71.15,0.00
KWAE,KATWA ,159,11.54,25.00,63.46,0.00
AZ,AZIMGANJ JN ,137,21.15,15.38,63.46,0.00
JRLE,JANGIPUR ROAD ,126,25.00,23.08,51.92,0.00
MLDT,MALDA TOWN ,149,19.23,17.31,63.46,0.00
KDPR,KUMEDPUR ,167,7.69,25.00,67.31,0.00
BOE,BARSOI JN ,165,7.69,26.92,65.38,0.00
KNE,KISHANGANJ ,190,3.85,23.08,73.08,0.00
AUB,ALUABARI ROAD ,194,3.85,23.08,73.08,0.00
NJP,NEW JALPAIGURI ,176,13.46,23.08,63.46,0.00
DQG,DHUPGURI ,172,15.38,17.31,67.31,0.00
NCB,NEW COOCH BEHAR ,194,9.62,13.46,76.92,0.00
NOQ,NEW ALIPURDAUR ,193,5.77,17.31,76.92,0.00
GOGH,GOSSAIGAON HAT ,210,1.92,19.23,78.85,0.00
KOJ,KOKRAJHAR ,226,1.92,15.38,82.69,0.00
NBQ,NEW BONGAIGAON ,238,0.00,13.46,86.54,0.00
GLPT,GOALPARA TOWN ,237,1.92,9.62,88.46,0.00
KYQ,KAMAKHYA ,237,11.54,5.77,82.69,0.00
GHY,GUWAHATI ,258,1.92,13.46,84.62,0.00
HJI,HOJAI ,278,3.85,7.69,88.46,0.00
LKA,LANKA ,281,3.85,5.77,90.38,0.00
LMG,LUMDING JN ,281,1.92,7.69,90.38,0.00
MBG,MAIBANG ,249,7.69,3.85,88.46,0.00
NHLG,NEW HAFLONG ,258,5.77,7.69,86.54,0.00
NHGJ,NEW HARANGAJAO ,264,1.92,13.46,84.62,0.00
BPB,BADARPUR JN ,239,9.62,7.69,82.69,0.00
SCL,SILCHAR ,224,13.46,3.85,82.69,0.00
