Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
LTT,LOKMANYATILAK T ,22,88.46,3.85,7.69,0.00
KYN,KALYAN JN ,37,42.31,48.08,9.62,0.00
NK,NASIK ROAD ,30,76.92,11.54,11.54,0.00
MMR,MANMAD JN ,37,67.31,19.23,13.46,0.00
BSL,BHUSAVAL JN ,48,48.08,34.62,17.31,0.00
BAU,BURHANPUR ,52,48.08,30.77,21.15,0.00
KNW,KHANDWA ,45,71.15,9.62,19.23,0.00
HD,HARDA ,52,59.62,17.31,23.08,0.00
ET,ITARSI JN ,51,67.31,9.62,23.08,0.00
PPI,PIPARIYA ,59,48.08,28.85,23.08,0.00
JBP,JABALPUR ,63,40.38,32.69,26.92,0.00
KTE,KATNI ,99,1.92,53.85,44.23,0.00
MYR,MAIHAR ,41,0.00,3.85,0.00,96.15
STA,SATNA ,112,0.00,50.00,50.00,0.00
PCOI,PRAYAGRAJ CHHEOKI ,130,7.69,42.31,50.00,0.00
MZP,MIRZAPUR ,140,3.85,40.38,55.77,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,122,28.85,21.15,50.00,0.00
DLN,DILDARNAGAR JN ,123,30.77,19.23,48.08,1.92
BXR,BUXAR ,121,30.77,23.08,44.23,1.92
DURE,DUMRAON ,126,28.85,21.15,48.08,1.92
ARA,ARA ,121,28.85,21.15,48.08,1.92
DNR,DANAPUR ,124,23.08,26.92,48.08,1.92
PNBE,PATNA JN ,101,38.46,21.15,40.38,0.00
PNC,PATNA SAHEB ,115,26.92,28.85,44.23,0.00
FUT,FATUHA JN ,126,25.00,25.00,50.00,0.00
KOO,KHUSROPUR ,129,21.15,26.92,51.92,0.00
BKP,BAKHTIYARPUR JN ,135,17.31,26.92,55.77,0.00
BARH,BARH ,145,5.77,30.77,63.46,0.00
MKA,MOKAMEH JN ,145,11.54,26.92,61.54,0.00
HTZ,HATHIDAH JN ,151,3.85,28.85,67.31,0.00
BRYA,BARHIYA ,155,3.85,25.00,71.15,0.00
LKR,LUCKEESARAI JN ,141,19.23,21.15,59.62,0.00
KIUL,KIUL JN ,101,44.23,9.62,46.15,0.00
AHA,ABHAIPUR ,112,38.46,1.92,40.38,19.23
JMP,JAMALPUR JN ,96,44.23,13.46,42.31,0.00
BUP,BARIARPUR ,101,34.62,21.15,44.23,0.00
SGG,SULTANGANJ ,100,36.54,19.23,44.23,0.00
BGP,BHAGALPUR ,90,44.23,17.31,38.46,0.00
CLG,KAHALGAON ,96,34.62,25.00,40.38,0.00
SBG,SAHIBGANJ JN ,91,40.38,17.31,42.31,0.00
BHW,BARHARWA JN ,84,42.31,26.92,30.77,0.00
NFK,NEW FARAKKA JN ,88,28.85,36.54,34.62,0.00
MLDT,MALDA TOWN ,84,44.23,19.23,36.54,0.00
KNE,KISHANGANJ ,119,11.54,40.38,48.08,0.00
NJP,NEW JALPAIGURI ,109,34.62,25.00,40.38,0.00
DQG,DHUPGURI ,111,32.69,25.00,42.31,0.00
NCB,NEW COOCH BEHAR ,112,32.69,25.00,42.31,0.00
NOQ,NEW ALIPURDAUR ,112,32.69,25.00,42.31,0.00
NBQ,NEW BONGAIGAON ,112,40.38,17.31,42.31,0.00
BPRD,BARPETA ROAD ,121,15.38,30.77,50.00,3.85
RNY,RANGIYA JN ,132,11.54,25.00,59.62,3.85
KYQ,KAMAKHYA ,126,25.00,32.69,42.31,0.00
GHY,GUWAHATI ,114,32.69,32.69,34.62,0.00
