Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SCL,SILCHAR ,2,98.08,0.00,1.92,0.00
BPB,BADARPUR JN ,22,46.15,48.08,5.77,0.00
NHLG,NEW HAFLONG ,17,57.69,40.38,1.92,0.00
LMG,LUMDING JN ,19,57.69,36.54,5.77,0.00
GHY,GUWAHATI ,2,100.00,0.00,0.00,0.00
GLPT,GOALPARA TOWN ,32,19.23,67.31,11.54,1.92
NBQ,NEW BONGAIGAON ,18,63.46,28.85,7.69,0.00
NJP,NEW JALPAIGURI ,30,38.46,50.00,11.54,0.00
KIR,KATIHAR JN ,23,61.54,17.31,21.15,0.00
BJU,BARAUNI JN ,46,11.54,21.15,17.31,50.00
PPTA,PATLIPUTRA ,40,46.15,26.92,26.92,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,40,53.85,23.08,23.08,0.00
PRYJ,PRAYAGRAJ JN ,84,23.08,30.77,46.15,0.00
CNB,KANPUR CENTRAL ,109,11.54,32.69,55.77,0.00
NDLS,NEW DELHI ,139,36.54,9.62,53.85,0.00
