Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SCL,SILCHAR ,2,88.46,7.69,0.00,3.85
BPB,BADARPUR JN ,20,53.85,38.46,3.85,3.85
NHLG,NEW HAFLONG ,20,57.69,32.69,5.77,3.85
MBG,MAIBANG ,45,32.69,34.62,28.85,3.85
LMG,LUMDING JN ,25,48.08,38.46,9.62,3.85
HJI,HOJAI ,29,44.23,42.31,9.62,3.85
GHY,GUWAHATI ,55,34.62,26.92,34.62,3.85
KYQ,KAMAKHYA ,62,28.85,28.85,38.46,3.85
RNY,RANGIYA JN ,86,11.54,30.77,53.85,3.85
BPRD,BARPETA ROAD ,100,7.69,26.92,61.54,3.85
BNGN,BONGAIGAON ,64,1.92,0.00,1.92,96.15
NBQ,NEW BONGAIGAON ,69,23.08,36.54,32.69,7.69
KOJ,KOKRAJHAR ,75,11.54,44.23,40.38,3.85
NOQ,NEW ALIPURDAUR ,94,7.69,34.62,53.85,3.85
NCB,NEW COOCH BEHAR ,101,1.92,32.69,61.54,3.85
DQG,DHUPGURI ,102,0.00,34.62,59.62,5.77
NJP,NEW JALPAIGURI ,74,30.77,26.92,38.46,3.85
KNE,KISHANGANJ ,98,9.62,42.31,44.23,3.85
MLDT,MALDA TOWN ,75,53.85,1.92,40.38,3.85
NFK,NEW FARAKKA JN ,83,48.08,7.69,40.38,3.85
RPH,RAMPUR HAT ,91,34.62,15.38,40.38,9.62
BHP,BOLPUR S NIKTN ,114,15.38,23.08,51.92,9.62
DKAE,DANKUNI ,146,0.00,25.00,61.54,13.46
KGP,KHARAGPUR JN ,149,5.77,23.08,67.31,3.85
BLS,BALASORE ,158,7.69,19.23,69.23,3.85
BHC,BHADRAKH ,181,5.77,15.38,75.00,3.85
JJKR,JAJPUR K ROAD ,190,3.85,13.46,78.85,3.85
CTC,CUTTACK ,207,5.77,7.69,82.69,3.85
BBS,BHUBANESWAR ,216,5.77,5.77,84.62,3.85
KUR,KHURDA ROAD JN ,224,7.69,9.62,78.85,3.85
BALU,BALUGAN ,258,0.00,13.46,82.69,3.85
BAM,BRAHMAPUR ,263,5.77,9.62,80.77,3.85
PSA,PALASA ,245,9.62,7.69,78.85,3.85
CHE,SRIKAKULAM ROAD ,255,7.69,7.69,80.77,3.85
VZM,VIZIANAGRAM JN ,255,5.77,7.69,82.69,3.85
VSKP,VISHAKAPATNAM ,261,7.69,7.69,80.77,3.85
RJY,RAJAMUNDRY ,295,0.00,11.54,84.62,3.85
BZA,VIJAYAWADA JN ,308,0.00,3.85,92.31,3.85
PER,PERAMBUR ,328,1.92,5.77,88.46,3.85
AJJ,ARAKKONAM ,335,3.85,3.85,88.46,3.85
KPD,KATPADI JN ,334,3.85,7.69,84.62,3.85
JTJ,JOLARPETTAI ,336,3.85,9.62,82.69,3.85
SA,SALEM JN ,352,1.92,7.69,86.54,3.85
ED,ERODE JN ,356,3.85,7.69,84.62,3.85
TUP,TIRUPPUR ,363,1.92,9.62,84.62,3.85
CBE,COIMBATORE JN ,327,11.54,0.00,84.62,3.85
