Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
KOAA,KOLKATA ,7,94.23,1.92,3.85,0.00
BDC,BANDEL JN ,11,90.38,5.77,3.85,0.00
NDAE,NABADWIP DHAM ,22,61.54,34.62,3.85,0.00
KWAE,KATWA ,19,69.23,25.00,5.77,0.00
AZ,AZIMGANJ JN ,14,86.54,7.69,5.77,0.00
JRLE,JANGIPUR ROAD ,19,59.62,32.69,5.77,1.92
MLDT,MALDA TOWN ,73,17.31,34.62,48.08,0.00
KNE,KISHANGANJ ,131,0.00,15.38,84.62,0.00
NJP,NEW JALPAIGURI ,129,3.85,17.31,78.85,0.00
NCB,NEW COOCH BEHAR ,167,0.00,15.38,84.62,0.00
NOQ,NEW ALIPURDAUR ,156,1.92,13.46,84.62,0.00
KOJ,KOKRAJHAR ,175,0.00,11.54,88.46,0.00
NBQ,NEW BONGAIGAON ,166,1.92,11.54,86.54,0.00
GLPT,GOALPARA TOWN ,169,3.85,7.69,88.46,0.00
GHY,GUWAHATI ,230,0.00,3.85,96.15,0.00
MYD,MANDERDISA ,262,0.00,0.00,100.00,0.00
NHLG,NEW HAFLONG ,262,0.00,3.85,96.15,0.00
BPB,BADARPUR JN ,237,0.00,5.77,94.23,0.00
NKMG,NEW KARIMGANJ ,247,0.00,3.85,96.15,0.00
DMR,DHARMANAGAR ,240,1.92,3.85,94.23,0.00
AGTL,AGARTALA ,227,3.85,7.69,88.46,0.00
