Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
NDLS,NEW DELHI ,5,96.71,1.92,1.37,0.00
CNB,KANPUR CENTRAL ,21,66.30,28.22,5.48,0.00
PRYJ,PRAYAGRAJ JN ,39,30.41,58.63,10.96,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,33,77.53,12.33,10.14,0.00
DNR,DANAPUR ,46,53.70,33.97,12.33,0.00
PPTA,PATLIPUTRA ,36,73.15,15.07,11.78,0.00
BJU,BARAUNI JN ,25,73.70,11.23,8.49,6.58
NNA,NAUGACHIA ,34,53.42,30.14,9.86,6.58
KIR,KATIHAR JN ,35,75.62,11.51,11.51,1.37
KNE,KISHANGANJ ,55,21.37,63.29,13.97,1.37
NJP,NEW JALPAIGURI ,46,63.84,21.92,14.25,0.00
NCB,NEW COOCH BEHAR ,42,68.22,16.99,14.79,0.00
KOJ,KOKRAJHAR ,56,47.67,33.97,18.36,0.00
NBQ,NEW BONGAIGAON ,47,66.03,18.08,15.89,0.00
GHY,GUWAHATI ,89,16.16,44.93,38.90,0.00
CPK,CHAPARMUKH JN ,102,7.95,43.01,49.04,0.00
LMG,LUMDING JN ,89,20.55,39.18,40.27,0.00
DMV,DIMAPUR ,98,16.71,39.73,43.56,0.00
MXN,MARIANI JN ,85,26.30,35.89,37.81,0.00
NTSK,NEW TINSUKIA JN ,93,15.89,44.93,39.18,0.00
DBRG,DIBRUGARH ,91,43.01,8.22,30.96,17.81
DBRT,DIBRUGARH TOWN ,16,13.97,2.47,1.37,82.19
