Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
SMVB,SMVT BENGALURU ,11,76.92,13.46,3.85,5.77
KJM,KRISHNARAJAPURM ,27,71.15,17.31,5.77,5.77
BWT,BANGARAPET ,35,44.23,42.31,7.69,5.77
JTJ,JOLARPETTAI ,23,82.69,5.77,5.77,5.77
KPD,KATPADI JN ,19,84.62,5.77,3.85,5.77
PER,PERAMBUR ,23,65.38,25.00,1.92,7.69
NLR,NELLORE ,44,7.69,73.08,11.54,7.69
OGL,ONGOLE ,48,11.54,69.23,11.54,7.69
BZA,VIJAYAWADA JN ,51,19.23,57.69,17.31,5.77
RJY,RAJAMUNDRY ,87,3.85,42.31,48.08,5.77
VSKP,VISHAKAPATNAM ,103,7.69,26.92,59.62,5.77
VZM,VIZIANAGRAM JN ,113,1.92,26.92,65.38,5.77
BAM,BRAHMAPUR ,106,9.62,19.23,65.38,5.77
KUR,KHURDA ROAD JN ,123,7.69,19.23,67.31,5.77
BBS,BHUBANESWAR ,129,7.69,17.31,69.23,5.77
CTC,CUTTACK ,122,11.54,17.31,65.38,5.77
BLS,BALASORE ,144,11.54,11.54,71.15,5.77
KGP,KHARAGPUR JN ,158,9.62,5.77,78.85,5.77
DKAE,DANKUNI ,169,9.62,9.62,69.23,11.54
BHP,BOLPUR S NIKTN ,210,3.85,9.62,75.00,11.54
RPH,RAMPUR HAT ,236,1.92,3.85,82.69,11.54
MLDT,MALDA TOWN ,231,3.85,7.69,82.69,5.77
KNE,KISHANGANJ ,266,0.00,5.77,88.46,5.77
NJP,NEW JALPAIGURI ,266,0.00,3.85,90.38,5.77
JPE,JALPAIGURI ROAD ,252,3.85,1.92,88.46,5.77
NCB,NEW COOCH BEHAR ,272,0.00,5.77,88.46,5.77
NOQ,NEW ALIPURDAUR ,270,0.00,5.77,88.46,5.77
NBQ,NEW BONGAIGAON ,251,3.85,1.92,88.46,5.77
GLPT,GOALPARA TOWN ,256,1.92,3.85,88.46,5.77
GHY,GUWAHATI ,254,0.00,9.62,84.62,5.77
LMG,LUMDING JN ,281,1.92,7.69,84.62,5.77
DPU,DIPHU ,290,1.92,3.85,88.46,5.77
DMV,DIMAPUR ,298,1.92,3.85,88.46,5.77
FKG,FURKATING JN ,283,3.85,7.69,82.69,5.77
MXN,MARIANI JN ,250,7.69,5.77,80.77,5.77
SLGR,SIMALUGURI JN ,259,0.00,11.54,82.69,5.77
SRTN,SIBSAGAR TOWN ,249,1.92,11.54,80.77,5.77
MRHT,MORANHAT ,248,5.77,7.69,80.77,5.77
DBRG,DIBRUGARH ,261,1.92,13.46,78.85,5.77
NTSK,NEW TINSUKIA JN ,250,7.69,9.62,76.92,5.77
