Station,Station_Name,Average_Delay(min),Right Time (0-15 min's),Slight Delay (15-60 min's),Significant Delay (>1 Hour),Cancelled/Unknown
LTT,LOKMANYATILAK T ,11,93.27,4.81,1.92,0.00
KYN,KALYAN JN ,26,51.92,44.23,3.85,0.00
NK,NASIK ROAD ,18,80.77,16.35,2.88,0.00
MMR,MANMAD JN ,20,81.73,13.46,4.81,0.00
BSL,BHUSAVAL JN ,24,66.35,26.92,6.73,0.00
BAU,BURHANPUR ,25,65.38,28.85,5.77,0.00
KNW,KHANDWA ,17,85.58,8.65,5.77,0.00
HD,HARDA ,25,75.96,14.42,9.62,0.00
ET,ITARSI JN ,27,75.96,12.50,11.54,0.00
JBP,JABALPUR ,42,42.31,43.27,14.42,0.00
KTE,KATNI ,72,2.88,64.42,32.69,0.00
MYR,MAIHAR ,32,0.00,2.88,0.00,97.12
STA,SATNA ,81,0.00,63.46,36.54,0.00
PCOI,PRAYAGRAJ CHHEOKI ,85,13.46,43.27,43.27,0.00
MZP,MIRZAPUR ,93,14.42,35.58,50.00,0.00
DDU,PT DEEN DAYAL UPADHYAY JN ,79,43.27,18.27,38.46,0.00
DLN,DILDARNAGAR JN ,75,43.27,17.31,37.50,1.92
BXR,BUXAR ,74,41.35,23.08,33.65,1.92
DURE,DUMRAON ,76,38.46,25.96,33.65,1.92
ARA,ARA ,72,43.27,21.15,33.65,1.92
DNR,DANAPUR ,80,25.96,37.50,34.62,1.92
PNBE,PATNA JN ,60,51.92,15.38,30.77,1.92
PNC,PATNA SAHEB ,68,39.42,25.96,32.69,1.92
BKP,BAKHTIYARPUR JN ,77,33.65,24.04,40.38,1.92
BARH,BARH ,86,20.19,36.54,41.35,1.92
MKA,MOKAMEH JN ,88,19.23,34.62,44.23,1.92
NBJU,NEW BARAUNI JN ,66,47.12,15.38,35.58,1.92
BGS,BEGU SARAI ,69,42.31,20.19,35.58,1.92
KGG,KHAGARIA JN ,68,38.46,25.00,34.62,1.92
MNE,MANSI JN ,68,35.58,27.88,34.62,1.92
THB,THANA BIHPUR JN ,70,32.69,30.77,34.62,1.92
NNA,NAUGACHIA ,73,27.88,34.62,35.58,1.92
KIR,KATIHAR JN ,62,50.00,19.23,29.81,0.96
BOE,BARSOI JN ,84,23.08,39.42,36.54,0.96
KNE,KISHANGANJ ,95,14.42,39.42,45.19,0.96
NJP,NEW JALPAIGURI ,94,27.88,27.88,44.23,0.00
DQG,DHUPGURI ,86,41.35,23.08,35.58,0.00
NCB,NEW COOCH BEHAR ,88,39.42,23.08,37.50,0.00
NOQ,NEW ALIPURDAUR ,90,37.50,25.96,36.54,0.00
KOJ,KOKRAJHAR ,105,22.12,33.65,44.23,0.00
NBQ,NEW BONGAIGAON ,89,47.12,18.27,34.62,0.00
BPRD,BARPETA ROAD ,115,24.04,30.77,45.19,0.00
RNY,RANGIYA JN ,148,9.62,30.77,59.62,0.00
KYQ,KAMAKHYA ,127,20.19,31.73,48.08,0.00
GHY,GUWAHATI ,126,25.00,26.92,48.08,0.00
HJI,HOJAI ,162,4.81,33.65,61.54,0.00
LMG,LUMDING JN ,163,10.58,25.96,63.46,0.00
DPU,DIPHU ,173,6.73,26.92,66.35,0.00
DMV,DIMAPUR ,180,9.62,24.04,66.35,0.00
FKG,FURKATING JN ,145,29.81,17.31,52.88,0.00
MXN,MARIANI JN ,154,15.38,31.73,52.88,0.00
SLGR,SIMALUGURI JN ,159,10.58,36.54,52.88,0.00
NTSK,NEW TINSUKIA JN ,156,14.42,33.65,51.92,0.00
DBRG,DIBRUGARH ,131,43.27,9.62,47.12,0.00
